date,cases,t,smoothed_phi,smoothed_cases,case_phi_ratio,min_n_true
2022-03-04,49754.857142857145,63,225.59640303505628,51703,229.18361864114328,290735
2022-03-05,49754.857142857145,64,225.30143097531584,52714,233.9709950878003,290354
2022-03-06,49754.857142857145,65,224.64443821980913,54124,240.9318495881967,289508
2022-03-07,59889.71428571428,66,223.87594023479767,55753,249.0352466706655,288517
2022-03-08,59889.71428571428,67,223.44908135804712,57444,257.0787029012382,287967
2022-03-09,59889.71428571428,68,224.0345788558768,59173,264.1244057153626,288722
2022-03-10,59889.71428571428,69,226.45602910286772,61090,269.76539437706845,291842
2022-03-11,59889.71428571428,70,231.55102314972845,63450,274.0216784055027,298409
2022-03-12,59889.71428571428,71,240.02763262419194,66434,276.77646641632646,309333
2022-03-13,59889.71428571428,72,252.40689808382342,70000,277.32998001010753,325286
2022-03-14,83761.14285714286,73,269.08091156497227,73864,274.50479326239684,346775
2022-03-15,83761.14285714286,74,290.40333750727365,77688,267.517586632606,374254
2022-03-16,83761.14285714286,75,316.6579431001681,81330,256.8386543655182,408089
2022-03-17,83761.14285714286,76,347.7979733543485,84991,244.3688765069607,448220
2022-03-18,83761.14285714286,77,382.99934526475397,89102,232.6426953508417,493586
2022-03-19,83761.14285714286,78,420.22554837274134,94016,223.72747293462396,541561
2022-03-20,83761.14285714286,79,456.0648052891667,99708,218.6268241785954,587748
2022-03-21,121713.28571428572,80,486.03884401446385,105701,217.47438769905082,626377
2022-03-22,121713.28571428572,81,505.4247294235621,111314,220.23853112006182,651360
2022-03-23,121713.28571428572,82,510.42541428775735,116026,227.31234917426977,657805
2022-03-24,121713.28571428572,83,499.3331116946275,119738,239.7958340748431,643509
2022-03-25,121713.28571428572,84,473.2409659323749,122725,259.3287750527015,609884
2022-03-26,121713.28571428572,85,435.96351917428166,125387,287.60892708978025,561843
2022-03-27,121713.28571428572,86,393.135929479027,127973,325.5184540613887,506649
2022-03-28,137051.14285714287,87,350.8415827918641,130467,371.8686905976001,452143
2022-03-29,137051.14285714287,88,314.33979924922545,132659,422.02419266298773,405102
2022-03-30,137051.14285714287,89,287.37221865463493,134320,467.4077425745399,370347
2022-03-31,137051.14285714287,90,272.1700186617802,135324,497.2039193198727,350756
2022-04-01,137051.14285714287,91,269.90034630437276,135693,502.7522263605246,347831
2022-04-02,137051.14285714287,92,281.1217187210394,135550,482.1754811996862,362292
2022-04-03,137051.14285714287,93,305.9390259493535,135061,441.4637837748709,394275
2022-04-04,132624.7142857143,94,343.8332431866653,134381,390.8319008207279,443111
2022-04-05,132624.7142857143,95,393.37597702459885,133609,339.647075072012,506958
2022-04-06,132624.7142857143,96,452.0789910964559,132746,293.63452541345197,582611
2022-04-07,132624.7142857143,97,516.4855102359853,131688,254.96939873459561,665614
2022-04-08,132624.7142857143,98,582.4280216961293,130285,223.69287731141085,750597
2022-04-09,132624.7142857143,99,645.3157490587704,128435,199.02660083428884,831643
2022-04-10,132624.7142857143,100,700.4169166631881,126174,180.14128014083036,902654
2022-04-11,117491.14285714286,101,743.2521072848477,123666,166.38499748323702,957857
