country,code,date,cases,t,smoothed_phi,smoothed_cases,case_phi_ratio,min_n_true
Spain,ESP,2022-06-11,11127.9288,162,299.80291735389494,11252,37.531322574549385,594458
Spain,ESP,2022-06-12,11408.64624,163,296.14594176215354,11304,38.170369422379885,587207
Spain,ESP,2022-06-13,11408.64624,164,295.8213289101384,11368,38.428601622073224,586563
Spain,ESP,2022-06-14,11408.64624,165,298.43256093485496,11456,38.387232157622165,591741
Spain,ESP,2022-06-15,11408.64624,166,303.57278285765295,11586,38.165476795832326,601933
Spain,ESP,2022-06-16,11408.64624,167,310.7508439969714,11782,37.91461946959291,616166
Spain,ESP,2022-06-17,11408.64624,168,319.3775001997916,12055,37.745301383030444,633271
Spain,ESP,2022-06-18,11408.64624,169,328.84202497420415,12395,37.69287091871034,652037
Spain,ESP,2022-06-19,13723.49424,170,338.6876445656288,12772,37.71026255292027,671560
Spain,ESP,2022-06-20,13723.49424,171,348.8545361394361,13154,37.70626045333229,691719
Spain,ESP,2022-06-21,13723.49424,172,359.8918066099624,13534,37.605746369957394,713604
Spain,ESP,2022-06-22,13723.49424,173,372.98077904406347,13942,37.3799423008683,739557
Spain,ESP,2022-06-23,13723.49424,174,389.62305905793454,14427,37.02809591116832,772556
Spain,ESP,2022-06-24,13723.49424,175,410.98193053949353,15022,36.5514853178112,814907
Spain,ESP,2022-06-25,13723.49424,176,437.12476350616623,15712,35.9439714052676,866744
Spain,ESP,2022-06-26,18565.66416,177,466.6478607019408,16426,35.19998993521944,925283
Spain,ESP,2022-06-27,18565.66416,178,497.0578256159697,17077,34.35616364924472,985581
Spain,ESP,2022-06-28,18565.66416,179,525.733076622799,17601,33.47896638549965,1042439
Spain,ESP,2022-06-29,18565.66416,180,550.812375612213,17978,32.63906331083781,1092167
Spain,ESP,2022-06-30,18565.66416,181,571.515235933297,18226,31.89066337004391,1133217
