country,code,date,cases,t,smoothed_phi,smoothed_cases,case_phi_ratio,min_n_true
Spain,ESP,2022-03-25,354.45178,84,312.18057388689084,358,1.1467721887451923,13444
Spain,ESP,2022-03-26,354.45178,85,331.1036882879945,360,1.0872726965423334,14259
Spain,ESP,2022-03-27,368.58865,86,355.409432138502,362,1.0185435930100182,15306
Spain,ESP,2022-03-28,368.58865,87,381.8524954612243,362,0.9480100413191087,16445
Spain,ESP,2022-03-29,368.58865,88,406.31431494024235,359,0.8835524292389231,17498
Spain,ESP,2022-03-30,368.58865,89,424.7008582296222,353,0.8311732673945861,18290
Spain,ESP,2022-03-31,368.58865,90,433.79960453788385,340,0.7837720376951328,18682
Spain,ESP,2022-04-01,368.58865,91,431.90084011847625,321,0.7432261532807979,18600
Spain,ESP,2022-04-02,368.58865,92,419.07075686533165,297,0.7087108683544839,18047
Spain,ESP,2022-04-03,200.29648,93,397.0270701989831,272,0.6850918247556226,17098
Spain,ESP,2022-04-04,200.29648,94,368.64872785755637,248,0.6727271281831894,15876
Spain,ESP,2022-04-05,200.29648,95,337.2623010332479,229,0.6789967313228548,14524
Spain,ESP,2022-04-06,200.29648,96,305.93133804273964,216,0.7060407782409792,13175
Spain,ESP,2022-04-07,200.29648,97,276.96008425112376,210,0.7582320050480268,11927
Spain,ESP,2022-04-08,200.29648,98,251.70890379957186,207,0.8223785367752736,10840
Spain,ESP,2022-04-09,200.29648,99,230.6829703722568,208,0.9016703732587936,9934
Spain,ESP,2022-04-10,215.646,100,213.7794928668624,209,0.9776428842506472,9206
Spain,ESP,2022-04-11,215.646,101,200.5792506087401,212,1.0569388376743802,8638
Spain,ESP,2022-04-12,215.646,102,190.6058220011392,213,1.1174894752098756,8208
Spain,ESP,2022-04-13,215.646,103,183.50970515110063,215,1.1716001604545683,7903
Spain,ESP,2022-04-14,215.646,104,179.1572684671489,216,1.205644637519168,7715
Spain,ESP,2022-04-15,215.646,105,177.62803349775484,217,1.221654013316219,7650
Spain,ESP,2022-04-16,215.646,106,179.1490263970386,218,1.2168639952128906,7715
Spain,ESP,2022-04-17,221.48831,107,184.00697847546382,219,1.1901722522398914,7924
Spain,ESP,2022-04-18,221.48831,108,192.46847778708107,221,1.1482399743633969,8289
Spain,ESP,2022-04-19,221.48831,109,204.71575445432285,224,1.0942001049068255,8816
